titre,cineaste,casting,date_sortie,duree_minutes,nationalites,synopsis,status,categories,thematiques,affiche_image,dossier_presse,affiche_photos,bande_annonce_fichier,bande_annonce_url,slug
Le Beau Mariage,Eric Rohmer,"Béatrice Romand, André Dussollier, Arielle Dombasle, Pascal Greggory",,,,,catalogue,production,,https://filmsdulosange.com/wp-content/uploads/sites/2/1993/04/poster-0-le-beau-mariage.jpg,,,,,le-beau-mariage.html
Lettres D’amour En Somalie,Frédéric Mitterrand,,,,,,catalogue,production,,https://filmsdulosange.com/wp-content/uploads/sites/2/2019/02/poster-0-lettres-damour-en-somalie.jpg,,,,,lettres-damour-en-somalie.html
Le Pont Du Nord,Jacques Rivette,"Bulle Ogier, Pascale Ogier, Pierre Clementi, Jean-François Stevenin",,,,"Bulle Ogier, Pascale Ogier, Pierre Clementi, Jean-François Stevenin,",catalogue,production,,https://filmsdulosange.com/wp-content/uploads/sites/2/1993/04/poster-0-le-pont-du-nord.jpg,,,,,le-pont-du-nord.html
Dans la Forêt de Katyn,Marcel Lozinski,,,,,,catalogue,production,,https://filmsdulosange.com/wp-content/uploads/sites/2/2019/02/poster-0-dans-la-foret-de-katyn.jpg,,,,,dans-la-foret-de-katyn.html
Bukowski,Barbet Schroeder,"Charles Bukowski, Linda Bukows, Pam Miller, Sean Penn",,4,,"Charles Bukowski, Linda Bukows, Pam Miller, Sean Penn,",catalogue,production,,https://filmsdulosange.com/wp-content/uploads/sites/2/2019/02/poster-0-bukowski.jpg,,,,,bukowski.html
La Femme De L’aviateur,Eric Rohmer,"Marie Rivière, Philippe Marlaud, Anne-Laure Meury, Mathieu Carrière",,,,,catalogue,production,,https://filmsdulosange.com/wp-content/uploads/sites/2/1993/04/poster-0-la-femme-de-laviateur.jpg,,,,,la-femme-de-laviateur.html
Navire Night,Marguerite Duras,"Bulle Ogier, Dominique Sanda, Mathieu Carrière",,,,"Bulle Ogier, Dominique Sanda, Mathieu Carrière,",catalogue,production,,https://filmsdulosange.com/wp-content/uploads/sites/2/1993/04/poster-0-navire-night.jpg,,,,,navire-night.html
Perceval Le Gallois,Eric Rohmer,"Fabrice Luchini, André Dussollier, Arielle Dombasle, Clémentine Amouroux",,,,,catalogue,production,,https://filmsdulosange.com/wp-content/uploads/sites/2/1993/04/poster-0-perceval-le-gallois.jpg,,,,,perceval-le-gallois.html
Koko Le Gorille Qui Parle,Barbet Schroeder,"Koko, Penny Paterson, Carl Pribam, Saul Kitchener, Roger Fouts",,,,"Koko, Penny Paterson, Carl Pribam, Saul Kitchener, Roger Fouts,",catalogue,production,,https://filmsdulosange.com/wp-content/uploads/sites/2/2019/02/poster-0-koko-le-gorille-qui-parle.jpg,,,,,koko-le-gorille-qui-parle.html
Une Sale Histoire (documentaire),Jean Eustache,"Elisabeth Lanchener, Françoise Lebrun, Virginie Thevenet",,22,,"Elisabeth Lanchener, Françoise Lebrun, Virginie Thevenet,",catalogue,production,,https://filmsdulosange.com/wp-content/uploads/sites/2/2019/02/poster-0-une-sale-histoire-documentaire.jpg,,,,,une-sale-histoire-documentaire.html
Une Sale Histoire (fiction),Jean Eustache,"Michael Lonsdale, Douchka, Laura Fanning, Josée Yann, Jacques Bruloux, Jean Douchet",,28,,,catalogue,production,,https://filmsdulosange.com/wp-content/uploads/sites/2/2019/02/poster-0-une-sale-histoire-fiction.jpg,,,,,une-sale-histoire-fiction.html
La Marquise D’o,Eric Rohmer,"Edith Clever, Bruno Ganz, Peter Lürh, Edda Seippel",,,,"Edith Clever, Bruno Ganz, Peter Lürh, Edda Seippel,",catalogue,production,,https://filmsdulosange.com/wp-content/uploads/sites/2/1993/04/poster-0-la-marquise-do.jpg,,,,,la-marquise-do.html
Maîtresse,Barbet Schroeder,"Gérard Depardieu, Bulle Ogier, André Rouyer, Nathalie Keryan, Roland Bertin, Tony Taffin",,,,,catalogue,production,,https://filmsdulosange.com/wp-content/uploads/sites/2/1993/04/poster-0-maitresse.jpg,,,,,maitresse.html
Céline et Julie vont en Bateau,Jacques Rivette,"Juliet Berto, Dominique Labourier, Bulle Ogier, Marie-France Pisier, Barbet Shroeder, Philippe Clevenot, Jean Douchet",,,,,catalogue,production,,https://filmsdulosange.com/wp-content/uploads/sites/2/1993/04/poster-0-celine-et-julie-vont-en-bateau.jpg,,,,,celine-et-julie-vont-en-bateau.html
Général Idi Amin Dada,Barbet Schroeder,,,,,"Idi Amin Dada,",catalogue,production,,https://filmsdulosange.com/wp-content/uploads/sites/2/1993/04/poster-0-general-idi-amin-dada.jpg,,,,,general-idi-amin-dada.html
L’amour L’après-midi,Eric Rohmer,"Bernard Verley, Zouzou, Françoise Verley, Daniel Ceccaldi",,,,,catalogue,production,,https://filmsdulosange.com/wp-content/uploads/sites/2/1993/04/poster-0-lamour-lapres-midi.jpg,,,,,lamour-lapres-midi.html
La Vallée,Barbet Schroeder,"Jean-Pierre Kalfon, Bulle Ogier, Michael Gothard, Valérie Lagrange, Jérôme Beauvarlet, Monique Giraudy",,,,,catalogue,production,,https://filmsdulosange.com/wp-content/uploads/sites/2/1993/04/poster-0-la-vallee.jpg,,,,,la-vallee.html
Le Genou De Claire,Eric Rohmer,"Jean-Claude Brialy, Aurora Cornu, Béatrice Romand, Laurence, Fabrice Luchini",,,,"Jean-Claude Brialy, Aurora Cornu, Béatrice Romand, Laurence de Monaghan, Fabrice Luchini",catalogue,production,,https://filmsdulosange.com/wp-content/uploads/sites/2/1993/04/poster-0-le-genou-de-claire.jpg,,,,,le-genou-de-claire.html
More,Barbet Schroeder,"Mimsy Farmer, Klaus Grunberg, Heinz Engelman, Michel Chanderli, Louise Wink, Georges Montant",,,,,catalogue,production,,https://filmsdulosange.com/wp-content/uploads/sites/2/1993/04/poster-0-more.jpg,,,,,more.html
Ma Nuit Chez Maud,Eric Rohmer,"Jean-Louis Trintignant, Françoise Fabian, Marie-Christine Barrault, Antoine Vitez",,,,,catalogue,production,,https://filmsdulosange.com/wp-content/uploads/sites/2/1993/04/poster-0-ma-nuit-chez-maud.jpg,,,,,ma-nuit-chez-maud.html
